judul,label,isi
"Wakil Wali Kota Depok Minta Kasus Minyak Goreng ""Wasilah 212"" Diusut Tuntas",Megapolitan," - Wakil Wali , Imam Budi Hartono meminta kasus dugaan pengoplosan , bermerek Wasilah 212 diusut tuntas.,Menurut dia, polisi harus bertindak tegas serta tak pandang bulu dalam mengusut kasus tersebut.,""Kepolisian harus tegas siapa pun orangnya,"" ujar Imam, dalam keterangannya, Senin (21/3/2022).,Imam mengatakan, jika ditemukan fakta bahwa terdapat tindak pidana, polisi harus memberikan sanksi tegas sesuai hukum yang berlaku.,""Kalau dia mengoplos berarti harus mendapatkan sanksi yang tegas sesuai hukum yang berlaku,"" ujar Imam.,Dia berharap, polisi mendalami kasus dugaan pengoplosan minyak goreng itu. Sebab, jika terbukti melakukan pengoplosan minyak termasuk tindak pidana.,""Saya berharap disusuri secara matang dan dalam karena yang namanya pengoplosan pasti kan ada UU hukum pidananya,"" ucap Imam.,Sebelumnya, polisi menyegel gudang , yang diduga milik keluarga salah seorang anggota DPRD Jawa Barat berinisial RA.,Gudang minyak goreng bernama Bhakti Karya dan berlokasi di Jalan Raya Pasir Putih, Sawangan, Depok, didatangi Polres Metro Depok dan Polsek Bojongsari pada Selasa (15/3/2022).,""Perusahaan Bhakti Karya pemiliknya berinisial HP, yang salah satu anaknya merupakan anggota Dewan inisial RA (DPRD Jabar). Milik keluarga. Memang anggota Dewan pengelolanya itu,"" kata Kapolsek Bojongsari Kompol M Syahroni, Rabu (16/3/2022)."
Menteri PANRB Cabut Aturan Pembatasan ASN Bepergian ke Luar Negeri,Nasional," - Menteri Pendayagunaan Aparatur Negara dan Reformasi Bikrokrasi (Menpan RB) , mencabut Surat Edaran (SE) Menpan RB Nomor 03 Tahun 2022 tentang Pembatasan Kegiatan Bepergian ke Luar Negeri pada Masa Pandemi Covid-19.,Pencabutan itu tertuang dalamSE Nomor 10 Tahun 2022 yang ditetapkan pada Senin (21/3/2022).,Dilansir dari salinan lembaran SE, dijelaskan pegawai aparatur sipil negara (,) yang akan melaksanakan perjalanan ke luar negeri agar terlebih dahulu meperoleh izin tertulis dari Pejabat Pembina Kepegawaian (PPK) atau pejabat yang diberikan delegasi kewenangan di bidang kepegawaian di lingkungan instansi masing-masing.,Kemudian ASN yang akan bepergian ke luar negeri diminta selalu mematuhi lima hal.,Pertama, protokol perjalanan luar negeri pada masa pandemi Covid-19 yang ditetapkan oleh Satuan Tugas Penanganan Covid-19.,Kedua, petunjuk pelaksanaan perjalanan internasional pada masa pandemi Covid-19 yang ditetapkan oleh Kementerian Perhubungan.,Ketiga, ebijakan wilayah negara yang akan dikunjungi.,Keempat, kebijakan mengenai pintu masuk, tempat karantina dan kewajiban pemeriksaan Covid-19 yang ditetapkan oleh Satuan Tugas Penanganan Covid-19,Kelima, protokol kesehatan yang ketat.,Selain itu, dalam SE ditegaskan pula pelaksanaan kegiatan perjalanan dinas luar negeri dilaksanakan secara selektif dan memprioritaskan pada kegiatan esensial yang tidak dapat diwakilkan, serta memperhatikan kebijakan dari Kementerian Sekretariat Negara."
Pengamat Sarankan Tarif Terintegrasi Transportasi di Jakarta Bisa Ikut Dinikmati Warga Bodetabek,Megapolitan," - Pengamat transportasi Universitas Trisakti Yayat Supriyatna menyarankan agar tarif integrasi transportasi umum di Jakarta bisa ikut dinikmati oleh warga Jabodetabek.,Ia berasalan, warga pinggiran kota penyangga Jakarta ikut berkontribusi dalam pembangunan Jakarta dan memajukan ekonomi Ibu Kota.,""Mereka juga berkontribusi di DKI, makan di Jakarta, berkontribusi buat Jakarta,"" kata Yayat saat dihubungi melalui telepon, Senin (21/3/2022).,Selain itu, Yayat menambahkan, banyak warga Bodetabek yang dulunya merupakan warga Jakarta tapi memilih tinggal di luar Jakarta karena tak mampu membeli rumah di tengah kota.,""Mungkin dulu mereka warga DKI, tapi enggak punya rumah akhirnya belinya di pinggiran,"" ucap dia.,Alasan ketiga adalah bila warga Jabodetabek diberikan akses tarif integrasi, maka penggunaan kendaraan pribadi akan jauh berkurang.,Ketika pengguna kendaraan pribadi berkurang, otomatis polusi udara yang disebabkan oleh kendaraan bermotor bisa teratasi.,""Mereka bisa membantu mengurangi polusi Jakarta, tidak bawa kendaraan,"" kata dia.,Kekhawatiran penggunaan subsidi salah sasaran untuk penerapan , pernah diungkapkan oleh Anggota Komisi B DPRD DKI Jakarta Manuara Siahaan.,Dia menyebutkan, dana Rp 3 triliun untuk subsidi tarif integrasi didanai oleh APBD DKI, sedangkan yang menikmati justru bukan dari warga Jakarta."
"Merasa Dikriminalisasi Pejabat, Fatia: Presiden Jokowi Mestinya Soroti Ini dan Tak Sibuk Kriminalisasi...",Megapolitan," - Koordinator KontraS , menilai, penetapan dirinya sebagai tersangka kasus pencemaran nama baik Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan merupakan bentuk ,.,Menurut dia, ini bukan kali pertama pejabat negara mengkriminalisasi pihak-pihak yang mengkritik maupun menyuarakan pelanggaran hak asasi manusia (HAM) kepada pemerintah.,Namun, Fatia tidak menjelaskan kasus-kasus kriminalisasi lainnya.,Dia hanya meminta Presiden Joko Widodo (Jokowi) menyoroti banyaknya kasus kriminalisasi tersebut, bukan malah melanggengkan praktik itu.,""Semestinya Presiden (Joko Widodo) menyoroti fenomena ini dan tidak sibuk mengkriminalisasi aktivis,"" ujar Fatia di Mapolda Metro Jaya, Senin (21/3/2022).,Selain itu, menurut Fatia, Jokowi seharusnya fokus menyoroti permasalahan yang terjadi di Papua.,""Tapi (Presiden harusnya) sibuk urusi Papua agar Papua tidak konflik terus,"" kata dia.,Fatia hari ini diperiksa sebagai tersangka kasus pencemaran nama baik tersebut.,Selain dia, aktivis Haris Azhar juga sudah ditetapkan sebagai tersangka dan diperiksa pada hari ini.,Kasus dugaan pencemaran nama baik Luhut berawal dari unggahan video diskusi di kanal YouTube pribadi milik Haris Azhar. Diskusi tersebut dilakukan bersama Fatia."
"Polri Tanggapi Pernyataan Mendag Soal Tersangka Mafia Minyak Goreng: Masih ""Chroscheck""",Nasional," - Kepala Biro Penerangan Masyarakat (Karo Penmas) Divisi Humas Polri Brigjen Ahmad Ramadhan menyatakan, pihaknya belum mendapatkan informasi terkait akan diumumkannya tersangka kasus mafia , yang disampaikan , Muhammad Lutfi.,Menurut Ramadhan, Direktorat Tindak Pidana Ekonomi Khusus (Dittipieksus) maupun Satuan Tugas (Satgas) Pangan Polri telah menanyakan pernyataan tersebut ke pihak Kementerian Perdagangan (Kemendag), namun belum mendapatkan respons.,""Sampai saat ini, kami belum mendapat respons, Satgas Pangan atau Dittipieksus masih melakukan penelusuran atau ,,"" ujar Ramadhan ditemui di Gedung ,, Senin (21/3/2022).,""Ya tentu kita harus menjawab ya (pertanyaan awak media) karena itu pernyataan seorang pejabat, kami sudah komunikasi, namun belum mendapat respons,"" papar Ramadhan.,Ramadhan memastikan, Polri bakal menindaklanjuti dan menelusuri pernyataan yang disampaikan Menteri Perdagangan tersebut.,Pihaknya, juga akan mengumumkan kepada publik jika sudah ditemukan adanya pihak yang menjadi tersangka dalam kasus tersebut.,""Prinsipnya bila ada terkait tersangka, kami pastikan Polri akan menindaklanjuti karena ini menjadi atensi pemerintah. Jadi ketika ada siapa pun yang melalukan tindak pidana ini kita pastikan akan kita tindak lanjuti,"" ucap Ramadhan.,""Ya nanti kita telusuri, kita tanya (soal pernyataan Mendag), nanti kalau sudah (ada penjelasan) pasti kita sampaikan,"" tuturnya.,Dalam rapat kerja di DPR, Lutfi menegaskan bahwa pemerintah tidak akan kalah dengan mafia minyak goreng dan memastikan para mafia tersebut dijebloskan ke penjara.,""Saya, kita pemerintah, tidak pernah mengalah apalagi kalah dengan mafia, saya akan pastikan mereka ditangkap dan calon tersangkanya akan diumumkan hari Senin,"" kata Lutfi di Kompleks Parlemen, Jakarta, Kamis (17/3/2022)."
"Kembali Beroperasi, Ini Sejarah Gedung Sarinah di Jakarta...",Megapolitan,"Pusat perbelanjaan Sarinah yang terletak di Jalan MH Thamrin, Jakarta Pusat kembali beroperasi dengan tampilan baru pada Senin (21/3/2022).,Usai direnovasi besar-besaran sejak tahun 2020, Sarinah kembali dengan mengusung tema , yang diharapakan menjadi tempat anak muda dan komunitas untuk berkumpul bersama.,Pihak pengelola mengklaim bahwa akan banyak titik-titik yang disediakan sebagai tempat foto bagi para pengunjung., ,""Sarinah menyimpan banyak memori masa lalu yang sekarang menjadi sejarah, seperti Relief Soekarno, eskalator pertama di Indonesia, dan Kolam Pantul,"" tulis akun Instagram @sarinahindonesia, Minggu (20/3/2022).,""Tak kalah unik, Sarinah juga mengembangkan beberapa spot unggulan lainnya yaitu Amphitheater dan Skydeck,"" sambungnya.,Adapun Sarinah merupakan Badan Usaha Milik Negara (BUMN) yang didirikan pada tahun 1962 bergerak pada bidang ritel dan perdagangan.,Mendirikan Sarinah merupakan salah satu langkah strategis yang dilakukan Presiden Soekarno untuk mengangkat derajat produk UMKM agar mampu bersaing.,Sarinah pada awalnya merupakan pusat perbelanjaan pertama di Tanah Air yang diperuntukkan sebagai etalase barang produksi dalam negeri, khususnya yang berasal dari UMKM.,Biaya pembangunannya berasal dari dana pampasan perang atau kompensasi dari pemerintah Jepang sebagai konsekuensi atas penjajahannya di Indonesia setelah kalah dalam Perang Dunia II melawan sekutu.,Gedung Sarinah memiliki tinggi 74 meter yang terdiri dari 15 lantai. Itu menjadikannya bangunan pencakar langit pertama di Indonesia. Sebagai pusat perbelanjaan modern pertama, Sarinah saat itu langsung jadi ikon berbelanja di Jakarta."
"Bacakan Pleidoi, Munarman Sebut Perkaranya Direkayasa untuk Tutupi Kasus Pembunuhan 6 Laskar FPI",Megapolitan," - Terdakwa kasus dugaan tindak pidana ,, ,, mengganggap kasus yang menjeratnya itu hasil rekayasa.,Menurut dia, kasus dugaan terorisme direkayasa untuk menutupi kasus pembunuhan enam anggota laskar , (FPI) yang terjadi di Km 50 Tol Jakarta Cikampek.,Hal ini dia sampaikan melalui pleidoi atau nota pembelaan atas tuntutan delapan tahun penjara tekait kasus dugaan terorisme.,""Perkara ini memang direkayasa untuk menutupi dan menjustifikasi , terhadap enam orang pengawal HRS (Habib Rizieq Shihab) yang dimulai dengan pembubaran FPI dengan alasan mendukung ISIS. Lalu dicarikan peristiwa yang bisa dikonstruksi melalui fitnah bahwa seolah-olah FPI mendukung ISIS adalah benar,"" kata Munarman di Pengadilan Negeri (PN) Jakarta Timur, Senin (21/3/2022).,Munarman mengungkapkan, dirinya diinterogasi di luar ketentuan hukum acara dan ditanya soal tentang Tim Pengawal Peristiwa Pembunuhan (TP3) enam laskar FPI.,Bahkan, Munarman juga mengaku ditanya soal perannya dalam advokasi peristiwa pembunuhan itu.,""Dan lucunya, dokumen laporan pemantauan dari Komnas HAM tentang peristiwa KM 50 ikut disita dalam penggeledahan di rumah saya dan malah dituntut untuk dimusnahkan,"" ujar Munarman.,Munarman bertanya-tanya soal hubungan antara perkara terorisme yang menjeratnya dengan kasus pembunuhan enam laskar FPI.,""Padahal kalau akal sehat digunakan, dan perkara ini adalah murni perkara hukum terorisme yang terjadi dalam rentan waktu 2014-2015, apa hubungan antara tuduhan dan dakwaan dalam perkara ini dengan peristiwa KM 50 yang terjadi pada Desember 2020?"" ucap Munarman.,""Apa hubungan dokumen Komnas HAM yang adalah merupakan lembaga Negara yang memang berwenang membuat laporan, malah dijadikan barang sitaan dan dituntut untuk dimusnahkan?"" kata dia."
"Bareskrim Sita Aset Senilai Rp 15 Miliar Milik Petinggi Robot ""Trading"" Viral Blast",Nasional," Direktorat Tindak Pidana Khusus (Dittipideksus) Badan Reserse Kriminal (Bareskrim) Kepolisian Republik Indonesia (Polri) menyita 1 unit rumah milik tersangka Minggus Umboh dan 1 unit rumah milik tersangka Zainal Hudha Purnama. Dua rumah tersebut bernilai Rp 15 miliar., Aset-aset itu merupakan hasil penipuan modus robot , petinggi PT Trust Global Karya atau Viral Blast., “Yang berhasil disita di Surabaya kemarin berupa 1 unit rumah mewah di Graha Family milik tersangka Minggus Umboh, 1 unit rumah mewah di Green Lake milik tersangka Zainal Hudha Purnama yang keduanya senilai Rp 15 miliar,” ujar Direktur Dirtipideksus Bareskrim Brigjen Whisnu Hermawan, melalui keterangan tertulis, Senin (21/3/2022)., Selain itu, Tim Dittipdeksus Bareskrim Polri juga melakukan penggeledahan di Apartemen One Icon Residence Surabaya unit 5305-5306 milik tersangka Putra Wibowo yang merupakan pendiri Viral Blast bersama para tersangka lainnya, serta penggeledahan Kantor PT Trust Global di Royal Residence Surabaya. , Wishu menjelaskan, tujuan penggeledahan itu adalah menemukan dokumen terkait tindak pidana penipuan robot , Viral Blast dan bukti-bukti harta kekayaan hasil kejahatan para tersangka., “Penggeledahan juga serentak pada 2 lokasi di Jakarta yaitu rumah di Grogol Petamburan, Jakarta Barat dan Kantor PT Trust Global di Rukan Garden Shopping Arcade, Grogol Petamburan, Jakarta Barat Kondisi kantor sudah kosong sejak Februari 2022,” terang Whisnu., “Langkah ini dilakukan untuk memaksimalkan upaya penyidikan yang dilakukan,” ucap dia., Penyidik pun berencana akan melakukan pemeriksaan terhadap pihak klub sepak bola Madura United terkait peran salah satu tersangka Zainal Hudha Purnama yang menjadi Manajer klub sepak bola tersebut serta dana , dari PT. Trust Global Karya atau Viral Blast ke Madura United. , Seperti diketahui bahwa tersangka Zainal Hudha Purnama juga melakukan kerja sama , kepada beberapa klub sepak bola lainnya yang rencananya juga akan di lakukan pemeriksaan tentang aliran dana dari PT. Trust Global Karya atau Viral Blast., “Karena patut diduga menerima harta kekayaan hasil kejahatan penipuan robot , Viral Blast tersebut,” ucap Whisnu."
"Pimpin Sidang IPU ke–144, Puan Sebut Parlemen Perlu Mobilisasi Aksi Nyata Atasi Perubahan Iklim",Nasional," - Ketua Dewan Perwakilan Rakyat (DPR) Republik Indonesia (RI) Puan Maharani mengatakan bahwa , memiliki peran penting dalam mobilisasi aksi nyata mengatasi ,.,“, juga dituntut untuk , atau menjadi contoh pemimpin yang baik dalam menjalankan program kerja yang ramah lingkungan,” katanya seperti yang dimuat dalam laman ,, Senin (21/3/2022).,Pernyataan tersebut Puan sampaikan saat sesi Governing Council IPU Assembly dalam Sidang Umum Inter–Parliamentary Union (IPU) ke–144 di , International Convention Centre (BICC) Nusa Dua, Bali, Senin.,Menurut Puan, forum IPU ke-144 memberi kesempatan bagi parlemen untuk berada di garda terdepan dalam mencapai , atau emisi nol.,Oleh karenanya, ia mengajak seluruh dunia untuk melakukan aksi nyata mengatasi perubahan , yang telah menjadi agenda tujuan pembangunan berkelanjutan.,Dalam forum bertemakan ""Getting to Zero: Mobilizing Parliaments to act on Climate Change"" itu, ia mengatakan, perubahan iklim merupakan krisis nyata dan telah terjadi lebih cepat dari masa–masa sebelumnya.,“Saat ini bumi sudah lebih panas 1,1 derajat Celsius dibandingkan awal abad lalu. Jika emisi dunia tidak berkurang 7,6 persen per tahunnya dari 2020 sampai 2030, maka target pemanasan bumi 1,5 hingga 2 derajat celsius sulit tercapai,” imbuh Puan.,Untuk mengatasi itu, ia mendorong agar pertemuan forum parlemen internasional seperti IPU dapat memobilisasi aksi mitigasi dan adaptasi perubahan iklim.,Selain dorongan, sebut Puan, diperlukan pula komitmen negara–negara berkembang melalui bantuan dana maupun investasi untuk mendukung transisi dan transfer teknologi energi bersih.,Selain isu perubahan iklim, Puan berharap, forum IPU dapat menjadi momentum bersama bagi parlemen dunia untuk berkontribusi menjawab tantangan global."
UPDATE: Kasus Harian Covid-19 Capai 4.699,Nasional," - Satuan Tugas (Satgas) Penanganan , kembali mengumumkan perkembangan kasus Covid-19 di Indonesia.,Hingga Senin (21/3/2022) pukul 12.00 WIB tercatat, ada penambahan 4.699 kasus baru Covid-19 dalam 24 jam terakhir.,Penambahan tersebut menyebabkan total kasus Covid-19 di Indonesia saat ini mencapai 5.967.182 terhitung sejak kasus pertama diumumkan Presiden Joko Widodo pada 2 Maret 2020.,Informasi ini disampaikan , kepada wartawan pada Senin sore. Data juga bisa diakses publik melalui situs Covid19.go.id.,Data yang sama menunjukkan bahwa ada penambahan kasus sembuh. Dalam sehari, jumlahnya bertambah 20.888.,Dengan demikian, jumlah kasus sembuh di Indonesia hingga saat ini mencapai 5.609.945.,Akan tetapi, jumlah kasus kematian setelah terpapar Covid-19 juga terus bertambah. Pada periode 20-21 Maret 2022 ada 154 kasus kematian.,Sehingga, kasus kematian dari Covid-19 kini mencapai 153.892.,Satgas juga melaporkan saat ini tercatat ada 203.345 kasus aktif Covid-19.,Kasus aktif adalah pasien yang masih terkonfirmasi positif virus corona, dan menjalani perawatan di rumah sakit atau isolasi mandiri.,Selain itu, pemerintah juga mencatat bahwa kini terdapat 5.929 orang yang berstatus suspek.,Lebih lanjut, terdapat 510 kabupaten/kota yang terpapar Covid-19 di 34 provinsi."
BMKG Prediksi Es di Puncak Jayawijaya Punah Tahun 2025,Nasional," - Kepala Badan Meteorologi, Klimatologi dan Geofisika (,) Dwikorita Karnawati mengatakan, pihaknya memprediksi bahwa es yang berada di Puncak Jayawijaya, Papua akan punah pada 2025.,Hal tersebut disampaikannya setelah mengungkap penelitian BMKG bahwa terjadi penyusutan gunung es di Puncak Jaya.,""Penyusutan gunung es puncak Jayawijaya yang diteliti oleh BMKG, diprediksi tahun 2025 es itu sudah punah, sudah tidak ada di Puncak Jaya Wijaya lagi,"" kata Dwikorita dalam rapat dengar pendapat (RDP) Komisi V DPR, Senin (21/3/2022).,Dwikorita kemudian juga mengungkapkan kondisi terkini terkait es di Puncak Jayawijaya.,Menurut penelitian BMKG, saat ini hanya tersisa 1 persen area es di sana.,""Dan saat ini kondisinya tinggal 1 persen area es di Puncak Jaya dari 200 kilometer persegi, sekarang tinggal 2 kilometer persegi,"" jelasnya.,Dwikorita menjelaskan, menyusutnya es di Puncak Jaya dikarenakan terjadinya perubahan iklim.,Tak hanya di Puncak Jaya, perubahan iklim juga berdampak pada suhu udara di Jakarta.,Dipaparkannya, suhu udara di Jakarta bahkan meningkat satu derajat Celsius selama periode 100 tahun.,Namun, sejak 2016, kata Dwikorita, peningkatan suhu udara itu bahkan sudah mencapai 1,5 derajat celsius.,Hal tersebut dinilai melampaui prediksi sebelumnya bahwa pada 2030 suhu udara di Jakarta baru meningkat satu derajat celsius.,""Kesepakatan global itu dibatasi 1 derajat celcius nanti di tahun 2030. Jadi betapa melampauinya. Maaf ini data tahun 2016,"" jelasnya.,""Jadi ini mendahului tahun 2030, jadi sudah hampir mencapai 1,5 (derajat),"" tambah dia."
"Sekolah di Marunda Pernah Keluhkan Debu Batu Bara, tetapi Diabaikan PT KCN",Megapolitan," - Kepala Sekolah SDN 05 Marunda Jakarta Utara Purwatiningsih mengatakan, pihaknya pernah mengeluhkan polusi debu batu bara milik PT Karya Citra Nusantara (KCN), tetapi tidak diindahkan.,Keluhan tersebut disampaikan pihak sekolah bersama warga Rusun Marunda yang juga merasa terganggu oleh pencemaran itu.,""Kami pernah mengajukan tapi tidak pernah diindahkan,"" kata Purwatiningsih, Senin (21/3/2022).,Purwatiningsih mengatakan, pihaknya menyampaikan keluhan bersama warga Marunda karena sekolah tersebut merupakan bagian dari Rusun Marunda.,Pasalnya, sekolah satu atap yang terdiri dari SDN 05 Marunda, SMPN 209 Jakarta dan SLBN 8 Jakarta itu berdiri di atas tanah rusun dan bangunannya merupakan merupakan milik pemerintah.,""Kami dari 3 sekolah ini pernah sekadar mengimbau, tapi waktu itu belum ada ini (lokasinya yang dekat). Kok ke sininya makin parah. Kebetulan dr warga rusun ada ajukan komplain, kami ikut,"" kata dia.,Purwatiningsih mengatakan, semula lokasi gunungan batu bara PT KCN itu berada jauh dari lokasi sekolah.,Namun, kini gunungan batu bara tersebut semakin banyak dan letaknya semakin mendekat ke area sekolah.,Bahkan dari ruangannya yang berada di lantai 3, gunungan batu bara itu terlihat jelas dan cukup dekat.,Tak hanya itu, di sisi-sisi jendela ruangannya pun tampak debu-debu hitam yang berasal dari gunungan batu bara itu."
"Munarman: Pernyataan Petinggi Parpol soal Wacana Tunda Pemilu Langgar Konstitusi, Mengapa Tak Dipidana?",Megapolitan," - Terdakwa kasus dugaan tindak pidana terorisme, Munarman, mempertanyakan pernyataan para petinggi partai politik soal wacana penundaan pemilihan umum (Pemilu) 2024 yang tidak dipidana.,Hal itu disinggung Munarman melalui pleidoi alias nota pembelaannya atas tuntutan delapan tahun penjara dari jaksa penuntut umum (JPU).,Awalnya, eks Sekretaris Umum Front Pembela Islam (FPI) itu mengatakan bahwa JPU tidak bisa menunjukkan aturan undang-undang mana yang bertentangan dengan isi ceramahnya pada acara di Makassar, Sulawesi Selatan (24-25 Januari 2015) dan Kabupaten Deli Serdang, Sumatera Utara (5 April 2015).,""(Jaksa) penuntut umum menyebutkan bertentangan dengan demokrasi Pancasila, tanpa menyebutkan di pasal berapa dan undang-undang yang mana yang menjadi dasar bahwa Indonesia menganut demokrasi Pancasila,"" kata Munarman di ruang sidang utama Pengadilan Negeri (PN) Jakarta Timur, Senin (21/3/2022).,Ia kemudian membandingkan hal itu dengan pernyataan para petinggi partai politik soal wacana penundaan Pemilu 2024.,""Berbeda ketika saya menunjukkan bahwa perkataan ketum parpol dan menteri di NKRI yang menyatakan maksud untuk memperpanjang periode jabatan presiden menjadi lebih dari 5 tahun, menunda pemilu dan menjadikan masa jabatan presiden menjadi 3 periode adalah bertentangan dengan konstitusi NKRI yaitu UUD 1945 Pasal 7 dan Pasal 22E ayat (1),"" kata Munarman.,""Jelas sekali apa yang disampaikan tersebut di atas, melanggar konstitusi dan bertentangan dengan sistem demokrasi Pancasila. Lantas mengapa tidak dipidana?"" imbuh dia.,Munarman menyebutkan, isi ceramahnya tidak ada yang mempersoalkan soal konsep NKRI.,Itu bisa dibuktikan dalam surat dakwaan dan rekaman video yang ditonton dalam persidangan sebelumnya.,""Silakan baca dalam surat dakwaan dan rekaman video sudah kita tonton bersama,"" ujar Munarman."
"936 ASN DKI Jakarta Belum Laporkan Harta Kekayaan, Wagub Ariza Sudah Minta Semua Wajib Lapor",Megapolitan," - Wakil Gubernur DKI Jakarta Ahmad Riza Patria mengenakan wajib lapor terhadap ratusan aparatur sipil negara (ASN) DKI Jakarta yang belum membuat laporan , penyelenggara negara (LHKPN).,""Kita sudah mewajibkan semua (untuk melaporkan),"" kata Ariza saat ditemui di Balai Kota DKI Jakarta, Senin (21/3/2022)., Riza mengucapkan terima kasih atas informasi Anggota Komisi A DPRD DKI Jakarta William Aditya, yang menyatakan terdapat ratusan ASN DKI belum melaporkan LHKPN yang., ""Terima kasih informasinya,"" ucap dia., , Sebelumnya William menyatakan, terdapat 936 ASN di DKI Jakarta yang belum melaporkan LHKPN mereka., Data tersebut bisa diakses melalui LHKASN DKI Jakarta 2020 dari situs ppid.jakarta.go.id/lhkpn.,""Kalau kita akses LHKPN dan LHKASN 2020, masih ada 936 pejabat (Pemprov DKI) yanng belum isi laporan LHKPN,"" kata William dalam keterangan tertulis.,Anggota Fraksi PSI ini menyebut ratusan pejabat DKI yang belum melaporkan harta kekayaannya menjadi catatan tersendiri untuk terus meningkatkan disiplin laporannya., William juga meminta agar Organisasi Perangkat Daerah (OPD) melakukan pengawasan dalam laporan LHKPN., , Pengawasan dalam pelaporan harta kekayaan dibutuhkan untuk mencegah tindak pidana korupsi di lingkungan Pemprov DKI., ""Jangan sampai lengah lalu melakukan korupsi. APBD dianggarkan untuk masyarakat Jakarta, untuk program prioritas. Kami (PSI) akan terus mengawal segala sesuatu yang menjadi hak warga Jakarta,"" ucap dia."
"Haris Azhar-Fatia Tersangka, Aktivis: Bentuk Kemerosotan Demokrasi",Nasional," - Anggota Dewan Penasehat Kaukus Indonesia untuk Kebebasan Akademik (KIKA) Robertus Robet mengatakan, penetapan tersangka terhadap Koordinator Komisi untuk Orang Hilang dan Korban Tindak Kekerasan (KontraS) Fatia Maulidiayati dan mantan Koordinator KontraS , adalah bentuk kemerosotan dalam ruang demokrasi di Indonesia.,Kedua aktivis itu menjadi tersangka dalam kasus dugaan , terhadap , ,.,""Kasus ini akan menambah tanda baru dari kemerosotan ruang , (penduduk sipil) dan demokrasi di Indonesia,"" kata Robet kepada Kompas.com, Senin (21/3/2022).,Robet mengatakan, seluruh pejabat publik sebenarnya tidak bisa lepas dari sorotan dan kritik atas kinerja atau kebijakannya. Sebab menurut dia hal itu menjadi bagian tidak terpisahkan ketika seseorang dipilih dan diangkat menjadi pejabat.,Menurut Robet seharusnya aparat penegak hukum menerapkan prinsip , atau keadilan restoratif dalam menangani perkara Fatia-Haris dan Luhut. Namun, dia menduga ada sikap enggan dari Luhut yang menjadi pelapor dalam mengambil langkah itu.,""Tapi saya kira, dimensi personalisasi kekuasaan ini terlalu kuat untuk membuat kasus ini sulit diselesaikan dengan cara itu,"" ujar Robet yang merupakan Anggota Dewan Penasehat Kaukus Indonesia untuk Kebebasan Akademik (KIKA).,Anggota Komisi III Dewan Perwakilan Rakyat (DPR) dari Fraksi Nasdem Taufik Basari mengatakan, perselisihan antara Haris-Fatia dengan Luhut tidak semestinya diselesaikan dengan proses pidana. Sebab menurut dia masih ada cara lain bagi para pelapor dan terlapor menyelesaikan perkara itu.,Pertama, kata Taufik, adalah pencabutan laporan oleh pelapor. Kedua, pihak kepolisian mendorong penyelesaian perdamaian melalui ,.,Selain itu, kata Taufik, jika kedua belah pihak sepakat maka langkah selanjutnya adalah dengan memberikan ruang yang sepadan dan proporsional bagi pelapor menjelaskan keterangan versinya sebagai hak untuk membantah.,Taufik berharap pihak Kepolisian mempertimbangkan dan mengkaji usulan tersebut demi menjaga demokrasi dan kepercayaan publik terhadap penegakan hukum yang adil."
"Alasan 2 ART Aniaya 3 Anak Majikan di Cengkareng, Kesal Korban Sering Menangis dan Susah Makan",Megapolitan," - Dua orang asisten rumah tangga (ART) di kawasan Cengkareng, Jakarta Barat, ditetapkan sebagai tersangka penganiayaan anak majikan oleh Polsek Cengkareng.,Tersangka INA (18) dan ANI (29) diduga menganiaya tiga anak majikannya yang masih berusia di bawah lima tahun (balita).,Kapolsek Cengkareng Kompol Ardhie Demastyo menjelaskan, kedua pelaku melakukan tindak kekerasan tersebut lantaran kesal.,""Kalau menurut hasil pemeriksaan, kenapa tersangka ini melakukan perbuatan pemukulan terhadap anak-anak itu, karena memang pertama mereka kesal anaknya sering nangis dan susah untuk makan. Makanya kesal, lalu dia melakukan pemukulan,"" kata Ardhie saat ditemui di Cengkareng, Senin (21/3/2022).,Pada Kamis (17/3/2022), keduanya dilaporkan ke Polsek Cengkareng oleh para penghuni dan petugas sekuriti di kompleks perumahan di Jakarta Barat.,Pasalnya, para tetangga memergoki kedua ART itu tengah menganiaya tiga malaikat kecil majikannya tersebut.,Aksi itu pun dilakukan di ruang terbuka, di sebuah taman di perumahan mewah itu. Kedua pelaku tidak sadar bahwa saat itu ada orang yang melihat tindakan mereka dan merekamnya.,Dalam rekaman yang diambil tetangga, anak-anak itu kerap diperlakukan kasar selagi disuapi makanan.,Anaknya yang berusia tiga tahun terlihat pernah ditampar dan dahinya disundut nugget yang masih panas.,Sementara itu, dua anaknya yang kembar, berusia 1,5 tahun, terlihat dicubit, didorong, bahkan diseret."
